,_id,id_str,full_tweet_text,screen_name,created_ts
46,5f834ecfaabcfe3ee19e5961,ID_1312204130308427777,"@M2Madness WWG1WGA the storm is coming 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸
So blow it out your A**",lisle_hall,2020-10-03 01:33:38
47,5f834ecfaabcfe3ee19e5962,ID_1311936263998648320,Honestly go join qanon. You’ll fit right in.,laurenthehough,2020-10-02 07:49:14
48,5f834ecfaabcfe3ee19e5963,ID_1312641493774086147,"@snband4 @charliekirk11 #SethRich, remember him you murderous bastards? Embarrassing to watch Democrat's non interest in solving the murder case..",Whuttaa1,2020-10-04 06:31:34
49,5f834ecfaabcfe3ee19e5964,ID_1311980362642399232,"@ThunderDwnUnda @ReddingtonAlice We have no room for hate , we must embrace our fellow man with love , just think they are sheep lost WE LEAD THEM HOME #WWG1WGA #UNITEDSTATESofAMERICA #EQUALUNDERGOD",1jacqjeff,2020-10-02 10:44:28
50,5f834ecfaabcfe3ee19e5965,ID_1311486620600692737,@julianfeeld I assume the French and Italians argue over who has the better adrenochrome,KochIndustries2,2020-10-01 02:02:31
51,5f834ecfaabcfe3ee19e5966,ID_1311977702811938817,"@realDonaldTrump 
You are my President and I Love you and The First Lady.
May God Bless you, stay by you and give healing powers! 
We will wait for you to recover and get back to normal. 
#WWG1WGA",MaryMarygamy,2020-10-02 10:33:54
52,5f834ecfaabcfe3ee19e5967,ID_1312784354343518210,"@BrittanyK182 @RHWofSurrey @lorenzolamas @john_zealand @POTUS @FLOTUS Thanks for agreeing about that conspiracy theory. These liberals are crazy!!

The only reason you don’t like pizzagate is because you protect pedophiles.

Leave them kids alone you sicko!",MagaMan4201,2020-10-04 15:59:15
53,5f834ecfaabcfe3ee19e5968,ID_1312203820785496064,"@agate_beach @Q_n_KY @JulieH40 @seanhannity @johnrobertsFox @kevincorke @BretBaier @KarlRove @dbongino @GeraldoRivera @AriFleischer @jasoninthehouse @RonnyJackson4TX @DrOz Trump actually has gullible #Cult45
#MAGAts believing this crap. 🤣‼️
(BTW... here's the secret truth... 
It's actually #FakeNews that he has
the #TrumpVirus. He wasn't really
even taken to the hospital. He's in
New Jersey playing golf with his
pals Vladimir Putin and #QAnon.)",RalfTebako,2020-10-03 01:32:25
54,5f834ecfaabcfe3ee19e5969,ID_1312843606638485504,"@Cam0237 @DianaWintah Well you're not addicted to adrenochrome. Also stop spreading his name, even bad publicity is good publicity. I don't want to know this person, i dont want to know his face. Stop making these ecelebs famous even if its just to drag their name in the mud.",iii_rockwell,2020-10-04 19:54:41
55,5f834ed0aabcfe3ee19e596a,ID_1312023459468279808,"@kurteichenwald Dude, saying people questioning Trump’s veracity about having COVID are only slightly better than QAnon is bullshit. All he does is lie.",John_N_Sellner,2020-10-02 13:35:43
